Date,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Solare Radiation AVG,Route
2014-09-23,32.85733333,100.0,65.11066667,16.5938,Disappointment Cleaver
2014-09-24,29.70291667,100.0,45.915,37.87370833,Disappointment Cleaver
2014-09-25,53.6475,199.70833334,6.332416666,285.3978334,Disappointment Cleaver
2014-09-26,254.14499997,900.0,8.078625,1029.6074997,Disappointment Cleaver
2014-09-27,233.23125000000002,421.40291669000004,49.986416669,1593.179875,Disappointment Cleaver
2014-09-28,86.06583334,24.727,9.7175,453.4389166,Disappointment Cleaver
2014-09-29,35.29625,47.83875,12.22416667,161.2810833,Disappointment Cleaver
2014-10-04,85.9975,118.51583334,18.5355,250.6841666,Kautz Glacier
2014-10-06,45.065,52.67708333,2.452583333,195.5275,Disappointment Cleaver
2014-11-09,21.96875,89.15416667,24.14166667,78.41325,Nisqually Glacier
2014-12-13,8.911,93.5125,0.0,42.76745833,Gibralter Ledges
2015-01-23,28.25125,92.37875,20.88708333,0.0,Disappointment Cleaver
2015-01-24,70.50166666,119.54583334,36.09691666,6.1875,Ingraham Direct
2015-01-25,37.7425,45.37166667,41.44083333,0.0,Gibralter Ledges
2015-01-28,23.08625,22.53516667,9.464208333,0.0,Gibralter Ledges
2015-01-29,98.29666668,301.725,29.583833332,0.0,Gibralter Ledges
2015-01-30,83.58,70.48262499,13.217375001,0.0,Gibralter Ledges
2015-01-31,28.02,27.65333333,10.29258333,0.0,Gibralter Ledges
2015-02-13,32.82541667,40.39291667,24.52683333,0.033083333,Fuhrer's Finger
2015-02-14,154.30750002000002,153.29050002000002,74.991,0.8650000019999999,Little Tahoma
2015-02-15,59.92916666,28.73791666,17.459416666,4.67675,Gibralter Ledges
2015-02-20,58.80500001,80.73875001,41.85312501,0.0,Gibralter Ledges
2015-02-21,35.78375001,143.25624999,51.699,0.0,Unknown
2015-02-22,84.63,72.364,74.865,0.0,Gibralter Ledges
2015-02-27,12.06366667,95.17916667,15.758875,0.0,Gibralter Ledges
2015-03-05,88.04750001,78.86012499,14.696375001,32.697375,Fuhrer's Finger
2015-03-06,61.53166666,59.50666666,24.19991666,0.0,Gibralter Ledges
2015-03-07,127.64666668,73.13666668,25.358166668,107.15033332,Disappointment Cleaver
2015-03-08,33.745,14.99333333,10.19525,17.644375,Little Tahoma
2015-03-09,66.05666666,52.25466666,24.68541666,20.41866666,Disappointment Cleaver
2015-03-14,24.08583333,99.84166667,51.35583333,0.0,Ingraham Direct
2015-03-15,40.74916666,197.1,73.485,0.0,Disappointment Cleaver
2015-03-19,27.38791667,55.47,32.96583333,0.0,Disappointment Cleaver
2015-03-22,15.28416667,83.18833333,26.54208333,0.0,Ingraham Direct
2015-03-23,21.71,181.53916666,34.01483334,0.0,Disappointment Cleaver
2015-03-25,27.63916667,83.63458333,23.18458333,0.0,Gibralter Ledges
2015-03-27,58.45416666,107.75416666,114.85,0.0,Disappointment Cleaver
2015-04-05,16.441416666,163.7625,10.999916666,0.794583334,glacier only - no summit attempt
2015-04-11,6.834833333,85.88208333,46.41875,0.0,Ingraham Direct
2015-04-13,28.33041666,130.34833334,107.32775,0.0,Disappointment Cleaver
2015-04-17,91.85124999,131.50250001,21.372875000999997,79.04525000999999,Disappointment Cleaver
2015-04-18,225.36208331,132.15416669,60.580041669,242.78770831000003,Gibralter Ledges
2015-04-19,65.89416666,63.42833334,4.949666666,112.81833334,Ingraham Direct
2015-04-20,97.57874999999999,148.52874999,10.339374999,70.40675001,Fuhrers Finger
2015-04-23,18.64516667,81.78208333,32.89291667,0.0,Disappointment Cleaver
2015-04-24,27.096125000999997,275.19375,128.13875001,0.0,Disappointment Cleaver
2015-04-26,21.72125,46.13583333,6.800083333,14.9675,Wilson Headwall
2015-04-27,97.11875001000001,231.23250000000002,45.960999990000005,39.7905,Disappointment Cleaver
